Timestamp,Perlakuan,Alasan,Frekuensi,daun bawang,merica,telur,pok cai,nugget or sausage.,seledri,kerupuk/emping,cheese stick,kacang,telor,kaldu,kremesan,cai po (lobak cina),kulit pangsit,cakue/cakwe/youtiao,kecap,cheesestick,sambal,bawang goreng,usus ayam,kulit ayam,telur puyuh,hati ayam,ampela/rempela/empedal ayam,Harga,Jenis Kelamin,Usia
4/25/2015 14:06:55,Tidak diaduk,karena memberikan rasa crispy ,2,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,5000,Perempuan,14
4/14/2015 7:22:59,Tidak diaduk,mengikuti cara ibu saya,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,10000,Perempuan,14
4/14/2015 11:02:20,Diaduk,bumbunya kayak merica blablabla keaduk,berusaha menghindar karena gasuka bubur,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,10000,Perempuan,14
4/13/2015 22:32:22,Diaduk,Lebih mantap,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,12000,Laki-laki,14
4/13/2015 22:32:14,Diaduk,bumbunya nyampur rasanya lebih enak,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,15000,Perempuan,14
4/13/2015 22:03:40,Diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,20000,Perempuan,14
4/14/2015 8:09:29,Tidak diaduk,soalnya kalo diaduk jadi benyek2 gt,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,6000,Perempuan,15
4/14/2015 10:05:38,Tidak diaduk,dimakan aja apa yang disendok,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,6000,Perempuan,15
4/13/2015 22:18:18,Tidak diaduk,biar isinya keliatan ,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,7000,Laki-laki,15
4/13/2015 22:22:28,Diaduk,biar semua komponen kerasa,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,7000,Perempuan,15
4/22/2015 15:56:25,Diaduk,agar rasa bumbu dari bubur ayam terasa enak ,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,7000,Perempuan,15
4/14/2015 7:43:47,Diaduk,"karena lebih nyampur, jadi lebih lezat",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,8000,Perempuan,15
4/13/2015 22:09:22,Diaduk,karena saya kurang suka kerupuk dan biasanya kerupuk di bubur ayam menggangu hidup saya jadi saya mengaduknya agar saya bisa menghancurkan hidup si kerupuk,3,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,9000,Perempuan,15
4/13/2015 22:22:20,Tidak diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,9000,Perempuan,15
4/14/2015 9:39:29,Diaduk,lebih enak kl semuanya rata,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,9000,Perempuan,15
4/13/2015 22:04:05,Tidak diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,10000,Perempuan,15
4/13/2015 22:04:09,Diaduk,supaya semuanya ada dalam sekali suap,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,10000,Perempuan,15
4/13/2015 22:05:06,Diaduk,semua bagian buburnya jadi kerasa enak,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,10000,Laki-laki,15
4/13/2015 22:10:53,Tidak diaduk,Suka2,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,10000,Perempuan,15
4/13/2015 22:11:33,Diaduk,biar sama rata,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,10000,Perempuan,15
4/13/2015 22:13:45,Tidak diaduk,biar ga geli,3,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,10000,Perempuan,15
4/13/2015 22:20:51,Tidak diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,10000,Perempuan,15
4/13/2015 22:24:33,Tidak diaduk,ga suka ayamnya,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,10000,Perempuan,15
4/13/2015 22:25:04,Diaduk,lebih enak ,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,10000,Perempuan,15
4/13/2015 22:38:28,Diaduk,bumbunya rata,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,10000,Perempuan,15
4/14/2015 4:45:18,Tidak diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,10000,Perempuan,15
